АиСД 2h2022;https://forms.gle/t47A2Lh3tEF6YiKY8;1.html
Правила и описание рейтинговой системы на осень 2022;https://docs.google.com/document/d/e/2PACX-1vSiAiwTnqq8xnWR06UDNjUhwppcQxMReGY_oAJk2uLuS0AKKog-VogahzriUQjecd6kvtwyyyf3nN_q/pub;2.html
Вводная лекция;https://docs.google.com/presentation/d/e/2PACX-1vTw_ikD99ewilTQKGv8BwVIt-1lshxEkoX8D9i5smCwkAazTM17sphqG1Gkdyipqb0e-GP3OzPmrmNI/pub?start=false&loop=false&delayms=3000;3.html
Ссылка на гугл-диск;https://drive.google.com/drive/folders/193ScwV_VVi-pfKTTP9UAH0sNidOBFMIQ;4.html
"Курс ""Алгоритмы и Структуры Данных""";http://e.moevm.info/course/view.php?id=45;5.html
Bug Report форма;https://forms.gle/AeX7ucYTR1j1Lt3R8;6.html
Правила работы с репозиторием;https://se.moevm.info/doku.php/courses:algorithms_structures:github_rules;7.html
Оформление отчета по лабораторной работе;https://se.moevm.info/doku.php/courses:informatics:reportrules;8.html
Допуск к защите лабораторных работ;https://se.moevm.info/doku.php/courses:algorithms_structures:access;9.html
Первая лабораторная работа;https://se.moevm.info/doku.php/courses:algorithms_structures:lr1;10.html
Вторая лабораторная работа;https://se.moevm.info/doku.php/courses:algorithms_structures:lr2;11.html
Третья лабораторная работа;https://se.moevm.info/doku.php/courses:algorithms_structures:lr3;12.html
Четвертая лабораторная работа;https://se.moevm.info/doku.php/courses:algorithms_structures:lr4;13.html
Правила оформления электронного письма;https://se.moevm.info/doku.php/courses:algorithms_structures:%D0%BF%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0_%D0%BE%D1%84%D0%BE%D1%80%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F_%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%B0;14.html
"Stepik-курс ""Алгоритмы: теория и практика. Структуры данных""";https://stepik.org/course/1547/;
"Coursera: Специализация ""Структуры и алгоритмы данных""";https://www.coursera.org/specializations/data-structures-algorithms;
